year,basin,trail,start_date,end_date,reviews,min_dist,max_dist
2024,duck,d1,6/2/24,6/8/24,,1.73,2.73
2024,duck,d1,6/9/24,6/15/24,,1.73,2.73
2024,duck,d1,6/16/24,6/22/24,15,1.73,2.73
2024,duck,d1,6/23/24,6/29/24,9,1.73,2.73
2024,duck,d1,6/30/24,7/6/24,38,1.73,2.73
2024,duck,d1,7/7/24,7/13/24,26,1.73,2.73
2024,duck,d1,7/14/24,7/20/24,24,1.73,2.73
2024,duck,d1,7/21/24,7/27/24,16,1.73,2.73
2024,duck,d1,7/28/24,8/3/24,19,1.73,2.73
2024,duck,d2,6/2/24,6/8/24,,1.73,2.73
2024,duck,d2,6/9/24,6/15/24,,1.73,2.73
2024,duck,d2,6/16/24,6/22/24,24,1.73,2.73
2024,duck,d2,6/23/24,6/29/24,19,1.73,2.73
2024,duck,d2,6/30/24,7/6/24,29,1.73,2.73
2024,duck,d2,7/7/24,7/13/24,15,1.73,2.73
2024,duck,d2,7/14/24,7/20/24,25,1.73,2.73
2024,duck,d2,7/21/24,7/27/24,19,1.73,2.73
2024,duck,d2,7/28/24,8/3/24,33,1.73,2.73
2024,duck,d3,6/2/24,6/8/24,,1.73,2.73
2024,duck,d3,6/9/24,6/15/24,,1.73,2.73
2024,duck,d3,6/16/24,6/22/24,16,1.73,2.73
2024,duck,d3,6/23/24,6/29/24,14,1.73,2.73
2024,duck,d3,6/30/24,7/6/24,13,1.73,2.73
2024,duck,d3,7/7/24,7/13/24,10,1.73,2.73
2024,duck,d3,7/14/24,7/20/24,4,1.73,2.73
2024,duck,d3,7/21/24,7/27/24,17,1.73,2.73
2024,duck,d3,7/28/24,8/3/24,9,1.73,2.73
2024,rock,r1,6/2/24,6/8/24,12,1.01,4.20
2024,rock,r1,6/9/24,6/15/24,3,1.01,4.20
2024,rock,r1,6/16/24,6/22/24,46,1.01,4.20
2024,rock,r1,6/23/24,6/29/24,37,1.01,4.20
2024,rock,r1,6/30/24,7/6/24,54,1.01,4.20
2024,rock,r1,7/7/24,7/13/24,39,1.01,4.20
2024,rock,r1,7/14/24,7/20/24,47,1.01,4.20
2024,rock,r1,7/21/24,7/27/24,50,1.01,4.20
2024,rock,r1,7/28/24,8/3/24,52,1.01,4.20
2024,rock,r2,6/16/24,6/22/24,24,1.01,4.20
2024,rock,r2,6/23/24,6/29/24,10,1.01,4.20
2024,rock,r2,6/30/24,7/6/24,18,1.01,4.20
2024,rock,r2,7/7/24,7/13/24,21,1.01,4.20
2024,rock,r2,7/14/24,7/20/24,10,1.01,4.20
2024,rock,r2,7/21/24,7/27/24,16,1.01,4.20
2024,rock,r2,7/28/24,8/3/24,13,1.01,4.20
2024,rock,r3,6/2/24,6/8/24,1,1.01,4.20
2024,rock,r3,6/9/24,6/15/24,1,1.01,4.20
2024,rock,r3,6/16/24,6/22/24,9,1.01,4.20
2024,rock,r3,6/23/24,6/29/24,2,1.01,4.20
2024,rock,r3,6/30/24,7/6/24,10,1.01,4.20
2024,rock,r3,7/7/24,7/13/24,1,1.01,4.20
2024,rock,r3,7/14/24,7/20/24,5,1.01,4.20
