Lake,Date,Sampler,Time_start,Mosquitos,Time_min,Mos_min,B_or_a,Basin,Elevation,Dist_tr,Tree_cover,Wetland,Hum_Activity_Tot,Log_Hum_Tot
Arrowhead,2024-07-01,CC,17:12,255,56,4.6,before,Duck,9685,0.78,78,3606.0,18957,4.28
Arrowhead,2024-07-01,KJ,17:12,276,56,4.9,before,Duck,9685,0.78,78,3606.0,18957,4.28
Arrowhead,2024-07-20,SC,8:45,122,60,2.0,before,Duck,9685,0.78,78,3606.0,18957,4.28
Arrowhead,2024-07-27,CC,18:50,8,60,0.1,before,Duck,9685,0.78,78,3606.0,18957,4.28
Arrowhead,2024-07-27,KJ,18:50,5,60,0.1,before,Duck,9685,0.78,78,3606.0,18957,4.28
Skelton,2024-07-01,SC,17:20,1448,120,12.1,before,Duck,9921,1.29,68,6242.9,18957,4.28
Skelton,2024-07-20,CC,8:50,18,80,0.2,before,Duck,9921,1.29,68,6242.9,18957,4.28
Skelton,2024-07-20,KJ,8:50,25,70,0.4,before,Duck,9921,1.29,68,6242.9,18957,4.28
Skelton,2024-07-27,SC,19:05,90,60,1.5,before,Duck,9921,1.29,68,6242.9,18957,4.28
Cotton,2024-07-06,SC,9:20,202,100,2.0,after,Fish_Creek,10623,7.12,8,2414.8,196,2.29
Cotton,2024-07-25,CC,7:30,0,60,0.0,after,Fish_Creek,10623,7.12,8,2414.8,196,2.29
Cotton,2024-07-25,KJ,7:30,0,60,0.0,after,Fish_Creek,10623,7.12,8,2414.8,196,2.29
IW,2024-07-06,CC,9:40,92,90,1.0,after,Fish_Creek,10266,7.43,21,7343.4,196,2.29
IW,2024-07-06,KJ,9:40,139,90,1.5,after,Fish_Creek,10266,7.43,21,7343.4,196,2.29
IW,2024-07-25,SC,8:54,4,73,0.1,after,Fish_Creek,10266,7.43,21,7343.4,196,2.29
Tully,2024-07-06,SC,11:56,30,94,0.3,after,Fish_Creek,10466,6.65,41,5707.2,196,2.29
Tully,2024-07-25,CC,8:55,0,60,0.0,after,Fish_Creek,10466,6.65,41,5707.2,196,2.29
Tully,2024-07-25,KJ,8:55,0,60,0.0,after,Fish_Creek,10466,6.65,41,5707.2,196,2.29
Elba,2024-06-26,SC,18:30,3,60,0.1,after,French_Cyn,10909,5.36,53,12417.4,411,2.61
Elba,2024-06-27,SC,8:03,10,60,0.2,after,French_Cyn,10909,5.36,53,12417.4,411,2.61
Elba,2024-07-17,CC,NA,75,120,0.6,after,French_Cyn,10909,5.36,53,12417.4,411,2.61
Elba,2024-07-17,KJ,NA,84,120,0.7,after,French_Cyn,10909,5.36,53,12417.4,411,2.61
Moon,2024-06-26,KJ,19:30,1,60,0.0,after,French_Cyn,11030,5.16,36,19429.4,411,2.61
Moon,2024-06-27,CC,8:15,5,55,0.1,after,French_Cyn,11030,5.16,36,19429.4,411,2.61
Moon,2024-07-17,SC,NA,90,85,1.1,after,French_Cyn,11030,5.16,36,19429.4,411,2.61
Big_McGee,2024-07-04,CC,18:30,151,90,1.7,before,McGee_Creek,10479,5.13,28,4662.4,2576,3.41
Big_McGee,2024-07-04,KJ,18:30,400,90,4.4,before,McGee_Creek,10479,5.13,28,4662.4,2576,3.41
Big_McGee,2024-07-04,SC,18:20,642,90,7.1,before,McGee_Creek,10479,5.13,28,4662.4,2576,3.41
Big_McGee,2024-07-23,CC,19:15,81,75,1.1,before,McGee_Creek,10479,5.13,28,4662.4,2576,3.41
Big_McGee,2024-07-23,KJ,19:15,65,75,0.9,before,McGee_Creek,10479,5.13,28,4662.4,2576,3.41
Big_McGee,2024-07-23,SC,19:02,36,60,0.6,before,McGee_Creek,10479,5.13,28,4662.4,2576,3.41
Birchim,2024-06-25,SC,8:52,425,83,5.1,before,Pine_Creek,10314,2.69,63,3397.0,2393,3.38
Birchim,2024-07-16,CC,17:40,97,90,1.1,before,Pine_Creek,10314,2.69,63,3397.0,2393,3.38
