lake,basin,date,time,mosquitoes,mos_min,hum_21,temp_min_20,temp_max_20,precip_20,precip_40,precip_60,precip_80,precip_tot,trail,trail_head,pass
arrowhead,duck,1-Jul-24,112,531,4.74,177,5.8,16.4,154.1,128.4,286.5,107.6,676.6,on,1.73,before
arrowhead,duck,20-Jul-24,60,122,2.03,184,9.9,21.1,154.1,128.4,286.5,107.6,676.6,on,1.73,before
arrowhead,duck,27-Jul-24,120,13,0.11,156,10.2,20.9,154.1,128.4,286.5,107.6,676.6,on,1.73,before
big_mcgee,mcgee,4-Jul-24,270,1193,4.42,20,3.5,17.4,117.5,99.0,241.3,91.66,549.5,on,11.87,before
big_mcgee,mcgee,23-Jul-24,210,182,0.87,44,6.1,20.3,117.5,99.0,241.3,91.66,549.5,on,11.87,before
birchim,pine,25-Jun-24,83,425,5.12,11,2.7,16.5,105.1,88.25,248.3,87.4,529.1,off,8.25,before
birchim,pine,16-Jul-24,180,206,1.14,24,5.4,19.2,105.1,88.25,248.3,87.4,529.1,off,8.25,before
cotton,fish,6-Jul-24,100,202,2.02,0,5.6,17.8,134.0,121.8,280.9,103.4,640.1,off,19.81,after
cotton,fish,25-Jul-24,120,0,0.00,0,9.3,21.2,134.0,121.8,280.9,103.4,640.1,off,19.81,after
eb,rock,13-Jul-23,120,240,2.00,30,1.7,15.1,211.1,424.0,36.5,126.8,798.4,on,0.82,before
eb,rock,17-Jul-23,103,444,4.31,39,3.3,17.3,211.1,424.0,36.5,126.8,798.4,on,0.82,before
eb,rock,24-Jul-23,240,130,0.54,46,5.4,18.9,211.1,424.0,36.5,126.8,798.4,on,0.82,before
eb,rock,5-Aug-23,180,554,3.08,49,6.2,18.4,211.1,424.0,36.5,126.8,798.4,on,0.82,before
eb,rock,19-Aug-23,120,333,2.78,39,3.3,15.8,211.1,424.0,36.5,126.8,798.4,on,0.82,before
eb,rock,25-Aug-23,60,15,0.25,39,2.1,14.1,211.1,424.0,36.5,126.8,798.4,on,0.82,before
elba,french,26-Jun-24,120,13,0.11,1,3.2,17.0,97.2,88.9,237.3,82.1,505.5,off,15.9,after
elba,french,17-Jul-24,240,159,0.66,12,5.4,20.0,97.2,88.9,237.3,82.1,505.5,off,15.9,after
flower,onion,20-Jul-23,255,9,0.04,18,3.8,17.3,244.4,451.2,24.3,125.4,845.3,on,4.11,before
flower,onion,29-Jul-23,160,301,1.88,26,4.9,18.2,244.4,451.2,24.3,125.4,845.3,on,4.11,before
flower,onion,4-Aug-23,240,220,0.92,34,5.1,17.8,244.4,451.2,24.3,125.4,845.3,on,4.11,before
flower,onion,18-Aug-23,90,112,1.24,33,2.9,15.1,244.4,451.2,24.3,125.4,845.3,on,4.11,before
flower,onion,30-Jul-24,60,3,0.05,13,5.2,17.3,85.2,90.5,224.3,58.6,458.6,on,4.11,before
gilbert,onion,21-Jul-23,157,12,0.08,18,4.0,17.5,244.4,451.2,24.3,125.4,845.3,on,3.70,before
gilbert,onion,28-Jul-23,240,224,0.93,26,4.8,18.1,244.4,451.2,24.3,125.4,845.3,on,3.70,before
gilbert,onion,6-Aug-23,240,70,0.29,35,4.7,17.4,244.4,451.2,24.3,125.4,845.3,on,3.70,before
gilbert,onion,18-Aug-23,90,14,0.16,33,2.9,15.1,244.4,451.2,24.3,125.4,845.3,on,3.70,before
heart,rock,14-Jul-23,116,164,1.41,30,2.0,15.6,211.1,424.0,36.5,126.8,798.4,on,2.13,before
heart,rock,19-Jul-23,120,35,0.29,39,4.4,18.2,211.1,424.0,36.5,126.8,798.4,on,2.13,before
heart,rock,25-Jul-23,240,924,3.85,46,5.5,18.8,211.1,424.0,36.5,126.8,798.4,on,2.13,before
heart,rock,3-Aug-23,240,230,0.96,49,6.6,19.0,211.1,424.0,36.5,126.8,798.4,on,2.13,before
heart,rock,15-Aug-23,120,121,1.01,39,3.9,16.3,211.1,424.0,36.5,126.8,798.4,on,2.13,before
heart,rock,22-Aug-23,120,301,2.51,39,2.5,14.7,211.1,424.0,36.5,126.8,798.4,on,2.13,before
heart,rock,18-Jun-24,122,179,1.47,102,2.0,16.0,98.0,84.3,225.0,72.2,479.6,on,2.13,before
heart,rock,9-Jul-24,205,530,2.59,209,4.3,18.5,98.0,84.3,225.0,72.2,479.6,on,2.13,before
hidden,rock,14-Jul-23,116,95,0.82,30,2.0,15.6,211.1,424.0,36.5,126.8,798.4,off,2.84,before
hidden,rock,19-Jul-23,120,61,0.51,39,4.4,18.2,211.1,424.0,36.5,126.8,798.4,off,2.84,before
hidden,rock,25-Jul-23,240,114,0.48,46,5.5,18.8,211.1,424.0,36.5,126.8,798.4,off,2.84,before
